"CCAA"	"TMUNI"	"IDENTHOGAR"	"HH4_1_i"	"HH4_3_i"	"NORDEN"	"HH7A_i"	"HH7B_i"	"HH7b"	"HH8_i"	"IN1_01"	"IN1_02"	"IN1_03"	"IN1_04"	"IN1_05"	"IN1_06"	"IN1_07"	"IN1_08"	"IN1_09"	"IN1_98"	"IN1_99"	"IN2"	"IN3"	"FACTORHOGAR"
"16"	"4"	"00017011"	"2"	58	"01"	"1"	"1"	"4"	"1"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	99998	"10"	1028.302441
"16"	"4"	"00017011"	"1"	55	"02"	"6"	"2"	"4"	"1"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	99998	"10"	1028.302441
"16"	"4"	"00017011"	"1"	27	"03"	"6"	"3"	"4"	"1"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	99998	"10"	1028.302441
"16"	"4"	"00017061"	"1"	52	"01"	"6"	"2"	"3"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"1"	NA	"  "	236.730288
"16"	"4"	"00017061"	"2"	52	"02"	"1"	"1"	"3"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"1"	NA	"  "	236.730288
"16"	"4"	"00017061"	"1"	7	"03"	"6"	"3"	"3"	"3"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"1"	NA	"  "	236.730288
"16"	"4"	"00017071"	"1"	78	"01"	"1"	"1"	"2"	"4"	"6"	"6"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	1092	"  "	821.677914
"16"	"4"	"00017071"	"2"	72	"02"	"6"	"2"	"2"	"4"	"6"	"6"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	1092	"  "	821.677914
"16"	"4"	"00017101"	"1"	43	"01"	"6"	"2"	"3"	"1"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	99998	"98"	382.914952
"16"	"4"	"00017101"	"2"	46	"02"	"1"	"1"	"3"	"1"	"1"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	"6"	99998	"98"	382.914952
