"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO_i"	"EDAD_i"	"NORDEN_Ai"	"NORDEN_Mi"	"NADULTOS"	"NMENORES"	"A7_1_i"	"NORDEN_Pref"	"A7_2"	"A8_1_i"	"A8_2_i"	"NORINF"	"A9_otra"	"A10_i"	"A11_i"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"FACTORHOGAR"	"CLASE_PR"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"D26"
"16"	"00001021"	"1"	"2"	81	"01"	"  "	1	0	"1"	"01"	"01"	"1"	"01"	"00"	"1"	"03"	"3"	"1"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	925.567	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"02"
"16"	"00001031"	"1"	"1"	38	"01"	"  "	2	1	"2"	"02"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"641"	"   "	"450"	"   "	"1"	" "	800.074	"3"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"1"	"05"
"16"	"00001031"	"1"	"2"	38	"02"	"  "	2	1	"1"	"02"	"01"	"2"	"02"	"01"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"641"	"   "	"450"	"   "	"1"	" "	800.074	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"00001031"	"1"	"1"	1	"  "	"51"	2	1	"2"	"02"	"01"	"2"	"03"	"01"	" "	"01"	"7"	"3"	" "	" "	"   "	"   "	" "	" "	"641"	"   "	"450"	"   "	"1"	" "	800.074	"3"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"00001041"	"1"	"1"	63	"01"	"  "	3	0	"2"	"02"	"01"	"1"	"01"	"01"	" "	"09"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"841"	"   "	"221"	"   "	"1"	" "	824.781	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"05"
"16"	"00001041"	"1"	"2"	62	"02"	"  "	3	0	"1"	"02"	"01"	"2"	"02"	"01"	" "	"09"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"841"	"   "	"221"	"   "	"1"	" "	824.781	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"00001041"	"1"	"1"	29	"03"	"  "	3	0	"2"	"02"	"01"	"2"	"03"	"01"	" "	"09"	"1"	"4"	" "	" "	"   "	"   "	" "	" "	"841"	"   "	"221"	"   "	"1"	" "	824.781	"1"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	"99"
"16"	"00001071"	"1"	"1"	69	"01"	"  "	2	0	"1"	"01"	"01"	"1"	"01"	"02"	" "	"08"	"3"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	799.312	"2"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"00001071"	"1"	"2"	68	"02"	"  "	2	0	"2"	"01"	"01"	"2"	"02"	"02"	" "	"04"	"6"	"2"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	799.312	"9"	"2"	"2"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"01"
"16"	"00001101"	"1"	"2"	48	"01"	"  "	2	2	"1"	"01"	"01"	"1"	"01"	"02"	" "	"09"	"1"	"3"	" "	" "	"   "	"   "	" "	" "	"   "	"   "	"   "	"   "	" "	" "	649.787	"1"	"1"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	"2"	" "	"05"
