"CCAA"	"IDENTHOGAR"	"ESTRATO"	"SEXO"	"EDAD"	"NORDEN"	"NADULTOS"	"NMENORES"	"A9"	"NORDEN_Pref"	"A7_2a"	"A7_2m"	"A8"	"NORINF"	"A5_otra"	"A10"	"A11"	"A12"	"B13"	"B14"	"B15_2"	"B16_2"	"B17"	"B18"	"B19a_2"	"B19b_2"	"B20a_2"	"B20b_2"	"B21a"	"B21b"	"CLASE_PR"	"C22_1"	"C22_2"	"C22_3"	"C22_4"	"C22_5"	"C22_6"	"C22_7"	"C22_8"	"C22_9"	"D23_1"	"D23_2"	"D23_3"	"D23_4"	"D23_5"	"D23_6"	"D23_7"	"D23_8"	"D23_9"	"D23_10"	"D23_11"	"D24"	"INGRESOS"	"FACTORHOGAR"
16	0000001	5	1	75	01	1	0	1	01	01		01	01			3	1													5	2	3	3	3	2	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2		02	16
16	0000003	5	2	74	01	1	0	1	01	01		01	01			3	1													6	3	3	3	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2		01	16
16	0000004	5	2	79	02	2	0	1	02	02		01	02			3	2													4	3	3	3	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2		02	16
16	0000005	5	2	70	02	2	0			01		02	02		04	3	2													5	1	3	3	3	3	3	3	3	2													04	16
16	0000006	5	1	27	02	2	0			02		01	01		07	1	6													6	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		04	16
16	0000007	5	2	68	02	2	0			01		02	02		06	3	2													5	3	3	3	3	3	3	3	3	3													03	16
16	0000008	5	2	71	02	2	0			02		01	02			3	2													5	3	3	3	3	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2		04	16
16	0000009	5	2	53	02	3	0			02		01	03		05	5	4													5	1	3	3	3	3	3	3	2	2	2	2	1	1	2	2	2	2	2	2	2	3	03	16
16	0000010	5	2	58	01	4	0			01		01	01			1	3													4	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	3	05	16
16	0000010	5	1	30	03	4	0			01		03	01		09	1	3													4	3	3	3	3	3	3	3	3	3													05	16
16	0000011	5	1	49	01	2	1			01	03	01	01			1	3													4	3	3	3	2	2	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		04	16
16	0000011	5	2	6	03	2	1			01	03	03	01		01	4	3													4	3	3	3	2	2	3	3	3	3													04	16
16	0000012	5	1	8	02	2	2			01	02	03	01		01	4	3													4	3	3	3	3	3	3	3	3	3													04	16
16	0000012	5	1	3	04	2	2			01	02	03	01		01	4	3													4	3	3	3	3	3	3	3	3	3													04	16
16	0000013	5	1	50	02	6	0	1	02	03		06	02		05	1	7							245		970		1		6	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	1	05	16
16	0000013	5	1	17	04	6	0			03		07	02		05	4	7													6	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	1	05	16
16	0000013	5	2	71	06	6	0			03		08	02		04	3	7													6	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	1	05	16
16	0000015	6	2	56	01	2	0	1	01	02		07	01		09	1	8							812		921		2		6	3	3	1	1	1	2	3	3	3													99	16
16	0000016	6	1	76	01	2	0	1	01	01		01	01			3	6													3	3	3	3	3	3	3	3	3	3	1	2	1	2	2	2	2	2	2	2	2	3	99	16
16	0000017	6	1	76	01	2	0	1	01	02		02	02		08	3	2	1							331		753		1	4	3	2	3	3	3	3	3	3	3													99	16
16	0000018	6	1	59	01	2	0	1	01	01		01	02		08	1	2													4	3	1	3	2	3	3	3	1	3	1	2	2	2	2	2	2	2	2	2	2		04	16
16	0000019	6	1	58	01	3	0	1	01	01		01	01			1	4													4	3	3	1	1	2	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000019	6	2	54	03	3	0			01		02	01		04	1	4													4	3	3	1	1	2	3	3	3	3													99	16
16	0000020	6	2	46	02	3	0			03		03	01		09	6	4													5	1	3	3	3	3	3	3	3	3													99	16
16	0000021	6	1	66	01	4	0	1	01	01		01	01			3	7													5	3	3	3	3	3	3	3	2	3	1	2	1	2	2	2	2	2	2	2	2	3	99	16
16	0000021	6	1	16	03	4	0			01		08	01		99	4	7													5	3	3	3	3	3	3	3	2	3													99	16
16	0000022	6	1	43	01	2	2	1	01	01	03	01	01			1	3													2	3	3	2	2	2	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		05	16
16	0000022	6	1	7	03	2	2			01	03	03	01		01	4	3													2	3	3	2	2	2	3	3	3	3													05	16
16	0000023	6	1	42	01	2	3	1	01	01	03	01	01			1	3													4	3	3	3	2	2	9	3	3	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000023	6	1	9	03	2	3			01	03	03	01		01	4	3													4	3	3	3	2	2	9	3	3	3													99	16
16	0000023	6	1	4	05	2	3			01	03	03	01		01	4	3													4	3	3	3	2	2	9	3	3	3													99	16
16	0000024	6	2	75	02	2	0			01		02	02		04	3	2													5	3	3	3	3	3	3	3	3	2	2	2	1	2	2	2	2	2	2	2	2		03	16
16	0000026	6	2	28	01	1	0	1	01	01		01	01			1	1													5	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000027	6	1	30	02	2	0			02		01	01		05	1	8													3	3	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		04	16
16	0000028	6	1	31	02	3	0			03		03	03		09	1	8													3	3	3	3	3	3	3	3	3	3													99	16
16	0000029	6	2	3	01	2	1			03	01	03	03		01	9	3													5	3	3	1	1	3	3	3	3	3													99	16
16	0000029	6	1	32	03	2	1	1	03	03	01	01	03			1	3													5	3	3	1	1	3	3	3	3	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000030	6	1	1	02	2	2			04	02	03	04		01	7	3													6	1	3	3	3	3	3	3	2	3													99	16
16	0000030	6	2	29	04	2	2	1	04	04	02	01	04			2	3													6	1	3	3	3	3	3	3	2	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000032	5	2	67	01	1	0	1	01	01		01	01			3	1													9	3	3	3	2	3	3	3	3	3	2	2	1	2	2	2	2	2	2	2	2		99	16
16	0000034	5	2	64	01	1	0	1	01	01		01	01			3	1													3	3	3	1	3	2	3	3	1	3	2	2	1	2	2	2	2	2	2	2	2		99	16
16	0000035	5	2	72	02	2	0			02		01	02			3	2													2	3	3	2	2	3	3	3	3	3	2	2	2	2	2	2	2	2	1	2	2		99	16
16	0000036	5	2	80	02	2	0			01		02	01		04	3	2													2	3	3	3	3	3	3	3	1	3													03	16
16	0000037	5	1	48	02	2	0	1	02	02		01	02			5	6													5	3	3	3	3	3	3	3	3	3	2	2	1	1	2	2	2	2	2	2	2	4	02	16
16	0000038	5	1	69	02	2	0			01		02	01		04	3	2													5	3	3	3	3	3	3	3	3	3													99	16
16	0000039	5	2	86	02	3	0			02		01	02			3	4													4	2	9	3	9	9	9	9	9	9	2	2	1	2	2	2	2	1	2	2	2	8	04	16
16	0000040	5	1	38	01	2	1			01	03	01	01			1	3													1	2	3	1	3	3	3	3	2	3	1	2	2	2	2	2	2	2	2	2	2		99	16
16	0000040	5	2	2	03	2	1			01	03	03	01		01	7	3													1	2	3	1	3	3	3	3	2	3													99	16
